Link Recipe Title Recipe Categories Ingredients List
https://www.gordonramsay.com/gr/recipes/frozen-berry-breakfast-bowl/, Frozen berry breakfast bowl, Dessert|Fit Food, acai powder|berries|bananas|apple juice|banana|granola|blueberries
https://www.gordonramsay.com/gr/recipes/grilled-salmon-with-garlic-mushroom-and-lentil-salad/, Grilled salmon with garlic mushroom and lentil salad, Salads|Fit Food, puy lentils|bay leaf|thyme sprigs|vegetable stock |olive oil|chestnut mushrooms|portobello mushrooms|garlic cloves|wild salmon fillets|rocket leaves|sea salt |ground black pepper|garlic clove|white wine vinegar|wholegrain mustard|runny honey|extra virgin olive oil|water
https://www.gordonramsay.com/gr/recipes/gold-medal-biscuits/, Gold Medal Biscuits, Kids, soft butter|caster sugar|egg|plain flour|icing sugar|vanilla pod|little whole milk|edible gold food spray|white icing pens/tubes|coloured ribbons|stand mixer with the paddle attachment fitted |biscuit cutters – for medals use a 7–8cm ring
https://www.gordonramsay.com/gr/recipes/peanut-butter-and-raspberry-jam-pancakes/, Peanut butter and raspberry jam pancakes, Dessert|Breakfast|Fit Food, crunchy|eggs|natural yoghurt|raspberry chia seed jam|rapeseed oil|bananas|maple syrup
https://www.gordonramsay.com/gr/recipes/spring-green-wraps/, Spring Green Wraps, Vegetarian|Fit Food, outer spring green leaves|houmous|carrots|red cabbage|avocado|punnet of salad cress|tahini|soy sauce|runny honey|lime|sea salt |ground black pepper
https://www.gordonramsay.com/gr/recipes/crispy-roast-duck-with-chinese-pancakes/, Crispy Roast Duck with Chinese Pancakes, Duck, duck|chinese five-spice powder|star anise|garlic cloves|root ginger|spring onions|chinese pancakes|sea salt |ground black pepper|groundnut oil|garlic cloves|black bean sauce|rice vinegar|soy sauce|runny honey
https://www.gordonramsay.com/gr/recipes/beef-wellington/, Beef Wellington, Beef, beef fillets|olive oil|mixture of wild mushrooms|thyme sprig|puff pastry|parma ham|egg yolks|sea salt |ground black pepper|olive oil|beef trimmings |shallots|black peppercorns|bay leaf|thyme sprig|red wine vinegar|red wine|beef stock
https://www.gordonramsay.com/gr/recipes/teriyaki-salmon/, Teriyaki Salmon, Fish, root ginger|garlic cloves|soy sauce|maple syrup|mirin |olive oil|salmon fillets |sea salt |ground pepper
https://www.gordonramsay.com/gr/recipes/honey-glazed-ham/, Honey Glazed Ham, Pork|Thanksgiving|Christmas, unsmoked boneless gammon joint|carrots|leek|onion|black peppercorns|coriander seeds|cinnamon stick|bay leaves handful of cloves|demerara sugar|madeira|sherry vinegar|honey
https://www.gordonramsay.com/gr/recipes/turkey-gravy-with-cider-and-walnuts/, Turkey Gravy with Cider & Walnuts, Thanksgiving|Christmas, 
